ID,Area,Centre x,Centre y,Radius
1.0,200.0,760.0,914.0,8.06225774829855
2.0,200.0,357.0,168.0,8.06225774829855
3.0,200.0,166.0,309.0,8.06225774829855
5.0,200.0,437.0,601.0,8.06225774829855
7.0,200.0,620.0,74.0,8.06225774829855
8.0,200.0,597.0,397.0,8.06225774829855
13.0,200.0,516.0,496.0,8.06225774829855
14.0,200.0,881.0,125.0,8.06225774829855
16.0,200.0,179.0,553.0,8.06225774829855
18.0,200.0,984.0,426.0,8.06225774829855
19.0,200.0,661.0,598.0,8.06225774829855
21.0,200.0,637.0,182.0,8.06225774829855
23.0,200.0,174.0,222.0,8.06225774829855
27.0,200.0,509.0,706.0,8.06225774829855
31.0,200.0,605.0,490.0,8.06225774829855
37.0,200.0,20.0,277.0,8.06225774829855
41.0,200.0,639.0,521.0,8.06225774829855
44.0,200.0,364.0,975.0,8.06225774829855
46.0,200.0,298.0,469.0,8.06225774829855
48.0,200.0,296.0,521.0,8.06225774829855
50.0,200.0,191.0,820.0,8.06225774829855
53.0,200.0,276.0,664.0,8.06225774829855
54.0,200.0,632.0,796.0,8.06225774829855
55.0,200.0,799.0,939.0,8.06225774829855
58.0,200.0,728.0,975.0,8.06225774829855
59.0,200.0,410.0,952.0,8.06225774829855
65.0,200.0,921.0,747.0,8.06225774829855
66.0,200.0,80.0,79.0,8.06225774829855
67.0,200.0,6.0,432.0,8.06225774829855
69.0,200.0,269.0,14.0,8.06225774829855
71.0,200.0,937.0,413.0,8.06225774829855
72.0,200.0,24.0,125.0,8.06225774829855
75.0,200.0,494.0,406.0,8.06225774829855
76.0,200.0,911.0,723.0,8.06225774829855
80.0,200.0,141.0,552.0,8.06225774829855
82.0,200.0,737.0,681.0,8.06225774829855
88.0,200.0,212.0,587.0,8.06225774829855
91.0,200.0,443.0,359.0,8.06225774829855
92.0,200.0,676.0,132.0,8.06225774829855
93.0,200.0,381.0,874.0,8.06225774829855
96.0,200.0,926.0,843.0,8.06225774829855
98.0,200.0,772.0,949.0,8.06225774829855
99.0,200.0,917.0,17.0,8.06225774829855
102.0,200.0,491.0,554.0,8.06225774829855
103.0,200.0,860.0,44.0,8.06225774829855
106.0,200.0,64.0,337.0,8.06225774829855
107.0,200.0,858.0,440.0,8.06225774829855
108.0,200.0,9.0,328.0,8.06225774829855
110.0,200.0,444.0,970.0,8.06225774829855
111.0,200.0,61.0,830.0,8.06225774829855
115.0,200.0,665.0,203.0,8.06225774829855
116.0,200.0,856.0,284.0,8.06225774829855
117.0,200.0,257.0,215.0,8.06225774829855
118.0,200.0,950.0,742.0,8.06225774829855
123.0,200.0,761.0,847.0,8.06225774829855
128.0,200.0,84.0,140.0,8.06225774829855
130.0,200.0,483.0,118.0,8.06225774829855
131.0,200.0,972.0,710.0,8.06225774829855
135.0,200.0,595.0,351.0,8.06225774829855
136.0,200.0,383.0,482.0,8.06225774829855
137.0,200.0,148.0,183.0,8.06225774829855
138.0,200.0,927.0,327.0,8.06225774829855
139.0,200.0,271.0,732.0,8.06225774829855
144.0,200.0,881.0,94.0,8.06225774829855
145.0,200.0,343.0,921.0,8.06225774829855
148.0,200.0,977.0,115.0,8.06225774829855
152.0,200.0,822.0,998.0,8.06225774829855
161.0,200.0,167.0,491.0,8.06225774829855
163.0,200.0,737.0,440.0,8.06225774829855
164.0,200.0,173.0,7.0,8.06225774829855
166.0,200.0,49.0,712.0,8.06225774829855
169.0,200.0,483.0,814.0,8.06225774829855
170.0,200.0,520.0,258.0,8.06225774829855
171.0,200.0,771.0,132.0,8.06225774829855
175.0,200.0,310.0,887.0,8.06225774829855
176.0,200.0,663.0,373.0,8.06225774829855
178.0,200.0,832.0,689.0,8.06225774829855
183.0,200.0,823.0,924.0,8.06225774829855
185.0,200.0,726.0,170.0,8.06225774829855
189.0,200.0,705.0,79.0,8.06225774829855
190.0,200.0,323.0,621.0,8.06225774829855
194.0,200.0,97.0,595.0,8.06225774829855
195.0,200.0,347.0,962.0,8.06225774829855
203.0,200.0,147.0,308.0,8.06225774829855
204.0,200.0,534.0,450.0,8.06225774829855
205.0,200.0,978.0,215.0,8.06225774829855
208.0,200.0,136.0,19.0,8.06225774829855
209.0,200.0,566.0,612.0,8.06225774829855
210.0,200.0,378.0,272.0,8.06225774829855
211.0,200.0,176.0,967.0,8.06225774829855
215.0,200.0,666.0,627.0,8.06225774829855
216.0,200.0,267.0,190.0,8.06225774829855
217.0,200.0,147.0,875.0,8.06225774829855
218.0,200.0,968.0,315.0,8.06225774829855
221.0,200.0,263.0,268.0,8.06225774829855
226.0,200.0,896.0,428.0,8.06225774829855
227.0,200.0,626.0,866.0,8.06225774829855
230.0,200.0,631.0,705.0,8.06225774829855
231.0,200.0,131.0,117.0,8.06225774829855
232.0,200.0,754.0,968.0,8.06225774829855
233.0,200.0,708.0,773.0,8.06225774829855
234.0,200.0,1010.0,219.0,8.06225774829855
235.0,200.0,829.0,274.0,8.06225774829855
236.0,200.0,671.0,745.0,8.06225774829855
237.0,200.0,304.0,2.0,8.06225774829855
238.0,200.0,140.0,487.0,8.06225774829855
244.0,200.0,577.0,915.0,8.06225774829855
246.0,200.0,194.0,708.0,8.06225774829855
247.0,200.0,857.0,329.0,8.06225774829855
248.0,200.0,335.0,719.0,8.06225774829855
249.0,200.0,608.0,750.0,8.06225774829855
251.0,200.0,115.0,375.0,8.06225774829855
252.0,200.0,478.0,178.0,8.06225774829855
253.0,200.0,362.0,236.0,8.06225774829855
256.0,200.0,545.0,494.0,8.06225774829855
259.0,200.0,597.0,732.0,8.06225774829855
261.0,200.0,349.0,792.0,8.06225774829855
265.0,200.0,484.0,873.0,8.06225774829855
267.0,200.0,667.0,261.0,8.06225774829855
269.0,200.0,857.0,921.0,8.06225774829855
270.0,200.0,922.0,391.0,8.06225774829855
272.0,200.0,103.0,268.0,8.06225774829855
274.0,200.0,173.0,289.0,8.06225774829855
277.0,200.0,394.0,342.0,8.06225774829855
278.0,200.0,87.0,825.0,8.06225774829855
279.0,200.0,888.0,353.0,8.06225774829855
280.0,200.0,763.0,24.0,8.06225774829855
281.0,200.0,807.0,586.0,8.06225774829855
282.0,200.0,91.0,549.0,8.06225774829855
288.0,200.0,555.0,586.0,8.06225774829855
289.0,200.0,445.0,770.0,8.06225774829855
291.0,200.0,850.0,247.0,8.06225774829855
292.0,200.0,96.0,287.0,8.06225774829855
293.0,200.0,670.0,983.0,8.06225774829855
297.0,200.0,547.0,928.0,8.06225774829855
298.0,200.0,992.0,684.0,8.06225774829855
300.0,200.0,782.0,445.0,8.06225774829855
301.0,200.0,227.0,76.0,8.06225774829855
306.0,200.0,704.0,57.0,8.06225774829855
307.0,200.0,726.0,191.0,8.06225774829855
312.0,200.0,355.0,214.0,8.06225774829855
313.0,200.0,251.0,92.0,8.06225774829855
314.0,200.0,824.0,469.0,8.06225774829855
315.0,200.0,30.0,771.0,8.06225774829855
316.0,200.0,619.0,596.0,8.06225774829855
317.0,200.0,456.0,573.0,8.06225774829855
318.0,200.0,862.0,175.0,8.06225774829855
321.0,200.0,28.0,304.0,8.06225774829855
325.0,200.0,324.0,365.0,8.06225774829855
326.0,200.0,213.0,338.0,8.06225774829855
327.0,200.0,127.0,452.0,8.06225774829855
330.0,200.0,250.0,296.0,8.06225774829855
333.0,200.0,691.0,269.0,8.06225774829855
336.0,200.0,311.0,400.0,8.06225774829855
337.0,200.0,627.0,305.0,8.06225774829855
338.0,200.0,121.0,662.0,8.06225774829855
344.0,200.0,896.0,636.0,8.06225774829855
346.0,200.0,365.0,693.0,8.06225774829855
350.0,200.0,332.0,227.0,8.06225774829855
351.0,200.0,993.0,447.0,8.06225774829855
352.0,200.0,111.0,834.0,8.06225774829855
355.0,200.0,436.0,705.0,8.06225774829855
356.0,200.0,428.0,568.0,8.06225774829855
359.0,200.0,226.0,13.0,8.06225774829855
360.0,200.0,828.0,589.0,8.06225774829855
361.0,200.0,570.0,850.0,8.06225774829855
363.0,200.0,298.0,956.0,8.06225774829855
364.0,200.0,816.0,719.0,8.06225774829855
365.0,200.0,520.0,387.0,8.06225774829855
366.0,200.0,93.0,394.0,8.06225774829855
367.0,200.0,309.0,302.0,8.06225774829855
370.0,200.0,809.0,75.0,8.06225774829855
371.0,200.0,400.0,540.0,8.06225774829855
375.0,200.0,321.0,815.0,8.06225774829855
376.0,200.0,252.0,32.0,8.06225774829855
378.0,200.0,658.0,453.0,8.06225774829855
379.0,200.0,619.0,994.0,8.06225774829855
380.0,200.0,52.0,576.0,8.06225774829855
381.0,200.0,725.0,815.0,8.06225774829855
382.0,200.0,427.0,645.0,8.06225774829855
386.0,200.0,148.0,680.0,8.06225774829855
390.0,200.0,177.0,134.0,8.06225774829855
