Tag number,Cluster size,Cluster volume,Cluster Centre x,Cluster Centre y,Event,Clusters in event,Timestep
5.0,235.0,1.042972571687689,5.0,132.0,Move,,116
1.0,62.0,0.14133789803890667,2.0,381.0,Move,,116
2.0,77.0,0.19561726463296106,2.0,526.0,Move,,116
3.0,110.0,0.3340105016700744,3.0,602.0,Move,,116
494.0,44.0,0.08449871581543276,1.0,670.0,Move,,116
484.0,140.0,0.4795823014944653,4.0,715.0,Move,,116
465.0,47.0,0.09328630275845784,1.0,908.0,Move,,116
13.0,200.0,0.8188721246808827,12.0,213.0,Move,,116
7.0,200.0,0.8188721246808827,13.0,430.0,Move,,116
10.0,400.0,2.316120129145952,16.0,927.0,Move,,116
9.0,200.0,0.8188721246808827,14.0,856.0,Move,,116
16.0,400.0,2.316120129145952,20.0,613.0,Move,,116
14.0,400.0,2.316120129145952,24.0,494.0,Move,,116
11.0,400.0,2.316120129145952,24.0,541.0,Move,,116
12.0,400.0,2.316120129145952,28.0,778.0,Move,,116
15.0,1200.0,12.034913220341341,49.0,259.0,Move,,116
23.0,200.0,0.8188721246808827,40.0,977.0,Move,,116
27.0,400.0,2.316120129145952,45.0,34.0,Move,,116
20.0,800.0,6.550976997447061,58.0,526.0,Move,,116
17.0,600.0,4.254984374547495,58.0,438.0,Move,,116
25.0,400.0,2.316120129145952,57.0,121.0,Move,,116
18.0,200.0,0.8188721246808827,55.0,688.0,Move,,116
19.0,200.0,0.8188721246808827,58.0,92.0,Move,,116
22.0,200.0,0.8188721246808827,63.0,338.0,Move,,116
32.0,200.0,0.8188721246808827,64.0,752.0,Move,,116
28.0,200.0,0.8188721246808827,65.0,914.0,Move,,116
30.0,200.0,0.8188721246808827,70.0,213.0,Move,,116
33.0,200.0,0.8188721246808827,73.0,697.0,Move,,116
34.0,200.0,0.8188721246808827,83.0,85.0,Move,,116
31.0,600.0,4.254984374547495,89.0,781.0,Move,,116
39.0,200.0,0.8188721246808827,87.0,15.0,Move,,116
489.0,200.0,0.8188721246808827,87.0,294.0,Move,,116
38.0,400.0,2.316120129145952,97.0,312.0,Move,,116
40.0,200.0,0.8188721246808827,97.0,250.0,Move,,116
36.0,400.0,2.316120129145952,103.0,456.0,Move,,116
42.0,200.0,0.8188721246808827,101.0,367.0,Move,,116
46.0,200.0,0.8188721246808827,106.0,209.0,Move,,116
35.0,1200.0,12.034913220341341,117.0,880.0,Move,,116
44.0,200.0,0.8188721246808827,108.0,84.0,Move,,116
45.0,200.0,0.8188721246808827,118.0,174.0,Move,,116
48.0,167.0,0.6248068765987695,119.0,994.0,Move,,116
51.0,400.0,2.316120129145952,123.0,920.0,Move,,116
497.0,33.0,0.05488352586249501,119.0,1.0,Move,,116
50.0,200.0,0.8188721246808827,125.0,125.0,Move,,116
47.0,200.0,0.8188721246808827,128.0,308.0,Move,,116
49.0,400.0,2.316120129145952,135.0,745.0,Move,,116
54.0,200.0,0.8188721246808827,137.0,447.0,Move,,116
52.0,200.0,0.8188721246808827,139.0,402.0,Move,,116
59.0,200.0,0.8188721246808827,147.0,535.0,Move,,116
57.0,200.0,0.8188721246808827,148.0,251.0,Move,,116
