ID,Area,Centre x,Centre y,Radius
28.0,200.0,505.0,135.0,8.06225774829855
29.0,200.0,948.0,634.0,8.06225774829855
64.0,200.0,838.0,301.0,8.06225774829855
90.0,200.0,-40.0,300.0,8.06225774829855
93.0,200.0,458.0,401.0,8.06225774829855
96.0,200.0,546.0,312.0,8.06225774829855
104.0,200.0,648.0,446.0,8.06225774829855
111.0,200.0,729.0,468.0,8.06225774829855
117.0,200.0,493.0,-1.0,8.06225774829855
126.0,200.0,325.0,206.0,8.06225774829855
130.0,200.0,329.0,82.0,8.06225774829855
138.0,200.0,226.0,335.0,8.06225774829855
160.0,200.0,87.0,51.0,8.06225774829855
209.0,200.0,79.0,529.0,8.06225774829855
225.0,200.0,203.0,700.0,8.06225774829855
249.0,200.0,736.0,965.0,8.06225774829855
262.0,200.0,849.0,600.0,8.06225774829855
310.0,200.0,1019.0,111.0,8.06225774829855
362.0,200.0,-30.0,383.0,8.06225774829855
370.0,200.0,526.0,628.0,8.06225774829855
406.0,200.0,720.0,378.0,8.06225774829855
437.0,200.0,988.0,884.0,8.06225774829855
476.0,200.0,1003.0,789.0,8.06225774829855
488.0,200.0,761.0,927.0,8.06225774829855
508.0,400.0,712.0,704.0,11.180339887498949
525.0,600.0,173.0,980.0,13.892443989449804
576.0,400.0,1050.0,873.0,11.180339887498949
598.0,400.0,900.0,657.0,11.180339887498949
617.0,600.0,520.0,797.0,13.892443989449804
619.0,400.0,575.0,1054.0,11.180339887498949
642.0,400.0,875.0,209.0,11.180339887498949
644.0,600.0,283.0,141.0,13.892443989449804
653.0,800.0,185.0,293.0,16.0312195418814
661.0,800.0,217.0,142.0,16.0312195418814
670.0,400.0,37.0,990.0,11.180339887498949
675.0,600.0,910.0,874.0,13.892443989449804
688.0,400.0,53.0,212.0,11.180339887498949
706.0,400.0,931.0,917.0,11.180339887498949
718.0,800.0,345.0,381.0,16.0312195418814
727.0,1200.0,313.0,664.0,19.4164878389476
728.0,600.0,199.0,239.0,13.892443989449804
736.0,800.0,473.0,781.0,16.0312195418814
738.0,400.0,233.0,745.0,11.180339887498949
742.0,800.0,820.0,883.0,16.0312195418814
746.0,400.0,931.0,334.0,11.180339887498949
754.0,600.0,279.0,302.0,13.892443989449804
762.0,1000.0,801.0,364.0,17.88854381999832
763.0,1600.0,72.0,602.0,22.561028345356956
766.0,1600.0,890.0,737.0,22.561028345356956
768.0,1000.0,394.0,155.0,17.88854381999832
772.0,2000.0,794.0,242.0,25.179356624028344
773.0,1200.0,192.0,792.0,19.4164878389476
792.0,2600.0,369.0,778.0,28.792360097775937
798.0,1000.0,84.0,327.0,17.88854381999832
802.0,1200.0,1025.0,42.0,19.4164878389476
805.0,2400.0,605.0,197.0,27.65863337187866
810.0,400.0,651.0,63.0,11.180339887498949
814.0,2000.0,294.0,925.0,25.179356624028344
817.0,1000.0,867.0,54.0,17.88854381999832
819.0,1000.0,33.0,776.0,17.88854381999832
823.0,400.0,26.0,868.0,11.180339887498949
824.0,1000.0,183.0,34.0,17.88854381999832
827.0,2200.0,813.0,648.0,26.40075756488817
828.0,400.0,898.0,177.0,11.180339887498949
833.0,2000.0,68.0,158.0,25.179356624028344
838.0,600.0,29.0,296.0,13.892443989449804
840.0,1600.0,189.0,382.0,22.561028345356956
841.0,1600.0,824.0,152.0,22.561028345356956
842.0,1000.0,825.0,945.0,17.88854381999832
845.0,600.0,560.0,429.0,13.892443989449804
849.0,1200.0,417.0,68.0,19.4164878389476
851.0,1400.0,528.0,680.0,21.095023109728988
853.0,2600.0,760.0,51.0,28.792360097775937
857.0,600.0,923.0,566.0,13.892443989449804
861.0,4200.0,468.0,220.0,36.61966684720111
864.0,1400.0,89.0,397.0,21.095023109728988
865.0,4000.0,635.0,329.0,35.6931365951495
866.0,2800.0,625.0,595.0,29.832867780352597
867.0,1000.0,421.0,854.0,17.88854381999832
869.0,3200.0,686.0,880.0,31.953090617340916
872.0,1000.0,527.0,910.0,17.88854381999832
873.0,1400.0,663.0,715.0,21.095023109728988
874.0,2000.0,379.0,625.0,25.179356624028344
875.0,800.0,754.0,580.0,16.0312195418814
876.0,2200.0,567.0,854.0,26.40075756488817
877.0,1000.0,530.0,77.0,17.88854381999832
878.0,800.0,159.0,659.0,16.0312195418814
880.0,5000.0,458.0,532.0,39.92492955535426
882.0,3200.0,179.0,546.0,31.953090617340916
883.0,4000.0,322.0,477.0,35.6931365951495
884.0,600.0,135.0,226.0,13.892443989449804
885.0,1200.0,586.0,637.0,19.4164878389476
886.0,1000.0,292.0,825.0,17.88854381999832
887.0,4400.0,840.0,435.0,37.44329045369811
