Tag number,Cluster size,Cluster volume,Cluster Centre x,Cluster Centre y,Event,Clusters in event,Timestep
2.0,125.0,0.40460953537702665,4.0,250.0,Move,,260
529.0,62.0,0.14133789803890667,2.0,284.0,Move,,260
455.0,200.0,0.8188721246808827,11.0,128.0,Move,,260
14.0,200.0,0.8188721246808827,13.0,81.0,Move,,260
546.0,200.0,0.8188721246808827,15.0,882.0,Appearance type 1,,260
3.0,200.0,0.8188721246808827,16.0,394.0,Move,,260
496.0,154.0,0.5532891773565207,16.0,1338.0,Move,,260
505.0,46.0,0.09032497322945274,16.0,1.0,Move,,260
515.0,200.0,0.8188721246808827,21.0,738.0,Move,,260
20.0,200.0,0.8188721246808827,24.0,1005.0,Move,,260
514.0,200.0,0.8188721246808827,25.0,283.0,Move,,260
16.0,200.0,0.8188721246808827,28.0,565.0,Move,,260
458.0,400.0,2.316120129145952,36.0,698.0,Move,,260
15.0,200.0,0.8188721246808827,34.0,41.0,Move,,260
19.0,200.0,0.8188721246808827,35.0,415.0,Move,,260
17.0,200.0,0.8188721246808827,35.0,513.0,Move,,260
531.0,200.0,0.8188721246808827,37.0,1210.0,Move,,260
28.0,200.0,0.8188721246808827,40.0,1119.0,Move,,260
516.0,200.0,0.8188721246808827,43.0,554.0,Move,,260
422.0,200.0,0.8188721246808827,48.0,214.0,Move,,260
18.0,400.0,2.316120129145952,57.0,850.0,Move,,260
35.0,200.0,0.8188721246808827,57.0,719.0,Move,,260
29.0,400.0,2.316120129145952,60.0,754.0,Move,,260
33.0,600.0,4.254984374547495,64.0,138.0,Move,,260
37.0,800.0,6.550976997447061,74.0,26.0,Move,,260
40.0,200.0,0.8188721246808827,76.0,1106.0,Move,,260
41.0,400.0,2.316120129145952,82.0,1248.0,Move,,260
45.0,400.0,2.316120129145952,84.0,666.0,Move,,260
44.0,400.0,2.316120129145952,87.0,1068.0,Move,,260
51.0,200.0,0.8188721246808827,87.0,466.0,Move,,260
42.0,200.0,0.8188721246808827,87.0,1319.0,Move,,260
36.0,200.0,0.8188721246808827,88.0,977.0,Move,,260
49.0,200.0,0.8188721246808827,89.0,617.0,Move,,260
34.0,400.0,2.316120129145952,98.0,232.0,Move,,260
47.0,200.0,0.8188721246808827,96.0,582.0,Move,,260
53.0,200.0,0.8188721246808827,97.0,539.0,Move,,260
38.0,600.0,4.254984374547495,103.0,938.0,Move,,260
52.0,200.0,0.8188721246808827,99.0,194.0,Move,,260
46.0,200.0,0.8188721246808827,106.0,434.0,Move,,260
54.0,200.0,0.8188721246808827,108.0,1094.0,Move,,260
48.0,200.0,0.8188721246808827,110.0,713.0,Move,,260
50.0,800.0,6.550976997447061,121.0,806.0,Move,,260
55.0,200.0,0.8188721246808827,119.0,358.0,Move,,260
68.0,200.0,0.8188721246808827,124.0,733.0,Move,,260
63.0,200.0,0.8188721246808827,129.0,1314.0,Move,,260
57.0,200.0,0.8188721246808827,134.0,319.0,Move,,260
61.0,600.0,4.254984374547495,139.0,1267.0,Move,,260
59.0,400.0,2.316120129145952,138.0,43.0,Move,,260
66.0,200.0,0.8188721246808827,140.0,454.0,Move,,260
64.0,400.0,2.316120129145952,144.0,85.0,Move,,260
62.0,200.0,0.8188721246808827,142.0,940.0,Move,,260
71.0,1400.0,15.165723982280841,164.0,803.0,Move,,260
67.0,200.0,0.8188721246808827,153.0,351.0,Move,,260
69.0,200.0,0.8188721246808827,156.0,891.0,Move,,260
65.0,400.0,2.316120129145952,163.0,1012.0,Move,,260
74.0,200.0,0.8188721246808827,169.0,724.0,Move,,260
75.0,200.0,0.8188721246808827,173.0,443.0,Move,,260
76.0,400.0,2.316120129145952,181.0,932.0,Move,,260
