ID,Area,Centre x,Centre y,Radius
3.0,200.0,884.0,1042.0,8.06225774829855
8.0,200.0,317.0,275.0,8.06225774829855
12.0,200.0,262.0,186.0,8.06225774829855
13.0,200.0,105.0,695.0,8.06225774829855
18.0,200.0,722.0,685.0,8.06225774829855
23.0,200.0,312.0,430.0,8.06225774829855
24.0,200.0,44.0,445.0,8.06225774829855
26.0,200.0,223.0,702.0,8.06225774829855
38.0,200.0,591.0,502.0,8.06225774829855
39.0,200.0,643.0,891.0,8.06225774829855
41.0,200.0,396.0,1179.0,8.06225774829855
44.0,200.0,603.0,779.0,8.06225774829855
51.0,200.0,836.0,651.0,8.06225774829855
55.0,200.0,513.0,103.0,8.06225774829855
60.0,200.0,79.0,182.0,8.06225774829855
69.0,200.0,556.0,312.0,8.06225774829855
72.0,200.0,482.0,1145.0,8.06225774829855
77.0,200.0,173.0,640.0,8.06225774829855
87.0,200.0,530.0,607.0,8.06225774829855
88.0,200.0,215.0,778.0,8.06225774829855
95.0,200.0,137.0,303.0,8.06225774829855
96.0,200.0,397.0,1235.0,8.06225774829855
102.0,200.0,717.0,920.0,8.06225774829855
114.0,200.0,444.0,896.0,8.06225774829855
116.0,200.0,-12.0,258.0,8.06225774829855
119.0,200.0,765.0,761.0,8.06225774829855
121.0,200.0,481.0,1099.0,8.06225774829855
136.0,200.0,621.0,825.0,8.06225774829855
142.0,200.0,717.0,269.0,8.06225774829855
146.0,200.0,49.0,492.0,8.06225774829855
149.0,200.0,374.0,846.0,8.06225774829855
154.0,200.0,877.0,845.0,8.06225774829855
159.0,200.0,563.0,235.0,8.06225774829855
160.0,200.0,598.0,1323.0,8.06225774829855
161.0,200.0,310.0,1259.0,8.06225774829855
170.0,200.0,595.0,1160.0,8.06225774829855
172.0,200.0,700.0,1153.0,8.06225774829855
173.0,200.0,63.0,1142.0,8.06225774829855
175.0,200.0,262.0,64.0,8.06225774829855
185.0,200.0,270.0,887.0,8.06225774829855
187.0,200.0,866.0,1279.0,8.06225774829855
