Tag number,Cluster size,Cluster volume,Cluster Centre x,Cluster Centre y,Event,Clusters in event,Timestep
847.0,77.0,0.19561726463296106,2.0,8.0,Move,,1320
769.0,258.0,1.1997773336923139,5.0,134.0,Move,,1320
964.0,200.0,0.8188721246808827,8.0,287.0,Edge Appearance type 1,,1320
915.0,101.0,0.29386858017132733,2.0,433.0,Move,,1320
458.0,212.0,0.8936652800187271,5.0,689.0,Move,,1320
887.0,200.0,0.8188721246808827,24.0,92.0,Move,,1320
763.0,1200.0,12.034913220341341,35.0,297.0,Move,,1320
54.0,400.0,2.316120129145952,32.0,1107.0,Move,,1320
515.0,200.0,0.8188721246808827,32.0,718.0,Move,,1320
531.0,200.0,0.8188721246808827,35.0,1189.0,Move,,1320
856.0,200.0,0.8188721246808827,38.0,447.0,Move,,1320
641.0,200.0,0.8188721246808827,39.0,486.0,Move,,1320
16.0,400.0,2.316120129145952,50.0,507.0,Move,,1320
857.0,200.0,0.8188721246808827,48.0,391.0,Move,,1320
709.0,200.0,0.8188721246808827,49.0,236.0,Move,,1320
29.0,400.0,2.316120129145952,62.0,786.0,Move,,1320
33.0,600.0,4.254984374547495,72.0,147.0,Move,,1320
28.0,200.0,0.8188721246808827,68.0,1142.0,Move,,1320
45.0,400.0,2.316120129145952,73.0,678.0,Move,,1320
18.0,400.0,2.316120129145952,78.0,850.0,Move,,1320
35.0,200.0,0.8188721246808827,77.0,760.0,Move,,1320
36.0,800.0,6.550976997447061,90.0,936.0,Move,,1320
52.0,200.0,0.8188721246808827,83.0,169.0,Move,,1320
48.0,200.0,0.8188721246808827,90.0,698.0,Move,,1320
47.0,400.0,2.316120129145952,94.0,591.0,Move,,1320
41.0,400.0,2.316120129145952,99.0,1217.0,Move,,1320
44.0,400.0,2.316120129145952,105.0,1043.0,Move,,1320
57.0,200.0,0.8188721246808827,105.0,288.0,Move,,1320
46.0,600.0,4.254984374547495,111.0,443.0,Move,,1320
53.0,200.0,0.8188721246808827,114.0,520.0,Move,,1320
849.0,258.0,1.1997773336923139,124.0,1338.0,Move,,1320
895.0,142.0,0.48989568090245844,124.0,3.0,Move,,1320
34.0,400.0,2.316120129145952,125.0,221.0,Move,,1320
50.0,2800.0,42.89514507789692,144.0,784.0,Move,,1320
55.0,400.0,2.316120129145952,139.0,337.0,Move,,1320
61.0,800.0,6.550976997447061,156.0,1284.0,Move,,1320
65.0,1400.0,15.165723982280841,162.0,1000.0,Move,,1320
90.0,733.0,5.7454897733181145,162.0,12.0,Move,,1320
64.0,400.0,2.316120129145952,159.0,111.0,Move,,1320
81.0,200.0,0.8188721246808827,156.0,420.0,Move,,1320
953.0,67.0,0.15877543017241558,162.0,1342.0,Move,,1320
75.0,600.0,4.254984374547495,167.0,490.0,Move,,1320
80.0,200.0,0.8188721246808827,177.0,639.0,Move,,1320
69.0,200.0,0.8188721246808827,178.0,865.0,Move,,1320
83.0,200.0,0.8188721246808827,179.0,553.0,Move,,1320
97.0,400.0,2.316120129145952,191.0,1228.0,Move,,1320
73.0,800.0,6.550976997447061,206.0,1114.0,Move,,1320
98.0,200.0,0.8188721246808827,199.0,772.0,Move,,1320
86.0,200.0,0.8188721246808827,200.0,726.0,Move,,1320
99.0,400.0,2.316120129145952,204.0,227.0,Move,,1320
87.0,200.0,0.8188721246808827,210.0,598.0,Move,,1320
88.0,200.0,0.8188721246808827,214.0,135.0,Move,,1320
108.0,200.0,0.8188721246808827,217.0,53.0,Move,,1320
85.0,2000.0,25.895010264129706,236.0,1061.0,Move,,1320
100.0,200.0,0.8188721246808827,231.0,293.0,Move,,1320
107.0,200.0,0.8188721246808827,244.0,160.0,Move,,1320
113.0,800.0,6.550976997447061,256.0,822.0,Move,,1320
105.0,299.0,1.496848603450607,256.0,6.0,Move,,1320
910.0,101.0,0.29386858017132733,256.0,1341.0,Move,,1320
93.0,200.0,0.8188721246808827,258.0,1289.0,Move,,1320
112.0,1400.0,15.165723982280841,278.0,508.0,Move,,1320
103.0,200.0,0.8188721246808827,265.0,873.0,Move,,1320
127.0,200.0,0.8188721246808827,273.0,976.0,Move,,1320
115.0,200.0,0.8188721246808827,277.0,238.0,Move,,1320
122.0,400.0,2.316120129145952,283.0,129.0,Move,,1320
106.0,400.0,2.316120129145952,297.0,587.0,Move,,1320
119.0,200.0,0.8188721246808827,296.0,230.0,Move,,1320
109.0,2200.0,29.874807477323742,314.0,329.0,Move,,1320
142.0,400.0,2.316120129145952,310.0,97.0,Move,,1320
124.0,400.0,2.316120129145952,313.0,1196.0,Move,,1320
118.0,200.0,0.8188721246808827,315.0,419.0,Move,,1320
143.0,200.0,0.8188721246808827,316.0,275.0,Move,,1320
128.0,1000.0,9.155268678330678,325.0,1087.0,Move,,1320
520.0,800.0,6.550976997447061,324.0,1145.0,Move,,1320
123.0,1200.0,12.034913220341341,329.0,635.0,Move,,1320
114.0,400.0,2.316120129145952,321.0,875.0,Move,,1320
145.0,400.0,2.316120129145952,331.0,815.0,Move,,1320
125.0,200.0,0.8188721246808827,338.0,1275.0,Move,,1320
137.0,1200.0,12.034913220341341,355.0,927.0,Move,,1320
150.0,1000.0,9.155268678330678,358.0,978.0,Move,,1320
149.0,400.0,2.316120129145952,362.0,468.0,Move,,1320
161.0,600.0,4.254984374547495,377.0,93.0,Move,,1320
171.0,600.0,4.254984374547495,384.0,1258.0,Move,,1320
152.0,800.0,6.550976997447061,392.0,311.0,Move,,1320
165.0,200.0,0.8188721246808827,390.0,543.0,Move,,1320
157.0,200.0,0.8188721246808827,395.0,829.0,Move,,1320
174.0,600.0,4.254984374547495,404.0,1162.0,Move,,1320
182.0,200.0,0.8188721246808827,406.0,618.0,Move,,1320
175.0,200.0,0.8188721246808827,408.0,90.0,Move,,1320
185.0,400.0,2.316120129145952,411.0,456.0,Move,,1320
179.0,400.0,2.316120129145952,420.0,948.0,Move,,1320
162.0,1000.0,9.155268678330678,431.0,679.0,Move,,1320
172.0,200.0,0.8188721246808827,428.0,1074.0,Move,,1320
173.0,400.0,2.316120129145952,435.0,988.0,Move,,1320
192.0,600.0,4.254984374547495,445.0,1242.0,Move,,1320
186.0,200.0,0.8188721246808827,442.0,868.0,Move,,1320
197.0,200.0,0.8188721246808827,444.0,90.0,Move,,1320
178.0,1000.0,9.155268678330678,458.0,753.0,Coagulation,"[178.0, 188.0]",1320
187.0,400.0,2.316120129145952,456.0,182.0,Move,,1320
193.0,200.0,0.8188721246808827,456.0,646.0,Move,,1320
177.0,600.0,4.254984374547495,462.0,541.0,Move,,1320
207.0,200.0,0.8188721246808827,461.0,1125.0,Move,,1320
184.0,200.0,0.8188721246808827,463.0,840.0,Move,,1320
200.0,800.0,6.550976997447061,472.0,1075.0,Move,,1320
176.0,200.0,0.8188721246808827,465.0,35.0,Move,,1320
190.0,200.0,0.8188721246808827,474.0,438.0,Move,,1320
550.0,200.0,0.8188721246808827,489.0,31.0,Move,,1320
201.0,600.0,4.254984374547495,496.0,268.0,Move,,1320
205.0,200.0,0.8188721246808827,498.0,115.0,Move,,1320
196.0,600.0,4.254984374547495,503.0,435.0,Move,,1320
198.0,400.0,2.316120129145952,507.0,507.0,Move,,1320
203.0,1400.0,15.165723982280841,523.0,1018.0,Move,,1320
199.0,200.0,0.8188721246808827,517.0,590.0,Move,,1320
214.0,400.0,2.316120129145952,520.0,881.0,Move,,1320
195.0,400.0,2.316120129145952,528.0,753.0,Move,,1320
212.0,1000.0,9.155268678330678,551.0,54.0,Move,,1320
216.0,400.0,2.316120129145952,551.0,1157.0,Move,,1320
