Tag number,Cluster size,Cluster volume,Cluster Centre x,Cluster Centre y,Event,Clusters in event,Timestep
781.0,189.0,0.752252778063675,4.0,50.0,Move,,1060
769.0,384.0,2.1785519997683167,9.0,143.0,Move,,1060
847.0,192.0,0.7702344461018454,9.0,6.0,Move,,1060
763.0,1374.0,14.745217841936292,32.0,284.0,Move,,1060
869.0,8.0,0.00655097699744706,9.0,1343.0,Move,,1060
771.0,200.0,0.8188721246808827,24.0,91.0,Move,,1060
458.0,400.0,2.316120129145952,31.0,684.0,Move,,1060
856.0,200.0,0.8188721246808827,35.0,452.0,Move,,1060
515.0,200.0,0.8188721246808827,37.0,725.0,Move,,1060
641.0,200.0,0.8188721246808827,38.0,489.0,Move,,1060
709.0,200.0,0.8188721246808827,39.0,235.0,Move,,1060
531.0,200.0,0.8188721246808827,41.0,1177.0,Move,,1060
857.0,200.0,0.8188721246808827,44.0,397.0,Move,,1060
16.0,400.0,2.316120129145952,54.0,530.0,Move,,1060
54.0,400.0,2.316120129145952,55.0,1110.0,Move,,1060
29.0,400.0,2.316120129145952,58.0,786.0,Move,,1060
33.0,600.0,4.254984374547495,66.0,147.0,Move,,1060
45.0,400.0,2.316120129145952,66.0,695.0,Move,,1060
35.0,200.0,0.8188721246808827,63.0,760.0,Move,,1060
18.0,400.0,2.316120129145952,78.0,854.0,Move,,1060
28.0,200.0,0.8188721246808827,76.0,1155.0,Move,,1060
47.0,400.0,2.316120129145952,82.0,585.0,Move,,1060
41.0,400.0,2.316120129145952,82.0,1225.0,Move,,1060
52.0,200.0,0.8188721246808827,94.0,177.0,Move,,1060
36.0,800.0,6.550976997447061,110.0,946.0,Move,,1060
44.0,400.0,2.316120129145952,105.0,1048.0,Move,,1060
46.0,600.0,4.254984374547495,109.0,462.0,Move,,1060
48.0,200.0,0.8188721246808827,109.0,683.0,Move,,1060
34.0,400.0,2.316120129145952,117.0,233.0,Move,,1060
53.0,200.0,0.8188721246808827,116.0,528.0,Move,,1060
849.0,400.0,2.316120129145952,121.0,1332.0,Move,,1060
57.0,200.0,0.8188721246808827,122.0,285.0,Move,,1060
55.0,200.0,0.8188721246808827,128.0,344.0,Move,,1060
50.0,2800.0,42.89514507789692,154.0,786.0,Move,,1060
69.0,200.0,0.8188721246808827,139.0,865.0,Move,,1060
65.0,1400.0,15.165723982280841,158.0,999.0,Move,,1060
64.0,400.0,2.316120129145952,154.0,124.0,Move,,1060
61.0,800.0,6.550976997447061,159.0,1296.0,Move,,1060
75.0,600.0,4.254984374547495,158.0,478.0,Move,,1060
81.0,200.0,0.8188721246808827,154.0,423.0,Move,,1060
90.0,800.0,6.550976997447061,184.0,17.0,Move,,1060
80.0,200.0,0.8188721246808827,177.0,641.0,Move,,1060
67.0,200.0,0.8188721246808827,179.0,348.0,Move,,1060
83.0,200.0,0.8188721246808827,182.0,543.0,Move,,1060
97.0,400.0,2.316120129145952,189.0,1225.0,Move,,1060
88.0,200.0,0.8188721246808827,192.0,137.0,Move,,1060
73.0,800.0,6.550976997447061,201.0,1114.0,Move,,1060
87.0,200.0,0.8188721246808827,197.0,620.0,Move large,[87.0],1060
98.0,200.0,0.8188721246808827,202.0,763.0,Move,,1060
86.0,200.0,0.8188721246808827,213.0,723.0,Move,,1060
85.0,1800.0,22.109547366383826,229.0,1053.0,Move,,1060
99.0,400.0,2.316120129145952,218.0,236.0,Move,,1060
100.0,200.0,0.8188721246808827,236.0,314.0,Move,,1060
108.0,200.0,0.8188721246808827,241.0,73.0,Move,,1060
102.0,200.0,0.8188721246808827,246.0,1101.0,Move,,1060
105.0,356.0,1.9446707902166074,254.0,8.0,Move,,1060
107.0,200.0,0.8188721246808827,252.0,183.0,Move,,1060
93.0,200.0,0.8188721246808827,252.0,1274.0,Move,,1060
112.0,1400.0,15.165723982280841,267.0,491.0,Move,,1060
835.0,44.0,0.08449871581543276,254.0,1342.0,Move,,1060
113.0,800.0,6.550976997447061,266.0,820.0,Move,,1060
127.0,200.0,0.8188721246808827,264.0,990.0,Move,,1060
103.0,200.0,0.8188721246808827,267.0,887.0,Move,,1060
115.0,200.0,0.8188721246808827,270.0,251.0,Move,,1060
106.0,400.0,2.316120129145952,273.0,581.0,Move,,1060
119.0,200.0,0.8188721246808827,289.0,234.0,Move,,1060
122.0,400.0,2.316120129145952,296.0,130.0,Move,,1060
109.0,2200.0,29.874807477323742,321.0,345.0,Move,,1060
123.0,1000.0,9.155268678330678,314.0,640.0,Move,,1060
118.0,200.0,0.8188721246808827,306.0,420.0,Move,,1060
128.0,1000.0,9.155268678330678,318.0,1093.0,Move,,1060
143.0,200.0,0.8188721246808827,311.0,267.0,Move,,1060
114.0,400.0,2.316120129145952,316.0,897.0,Move,,1060
125.0,200.0,0.8188721246808827,313.0,1255.0,Move,,1060
124.0,400.0,2.316120129145952,322.0,1191.0,Move,,1060
520.0,800.0,6.550976997447061,334.0,1138.0,Move,,1060
145.0,200.0,0.8188721246808827,331.0,828.0,Move,,1060
132.0,400.0,2.316120129145952,338.0,939.0,Move,,1060
142.0,400.0,2.316120129145952,340.0,110.0,Move,,1060
151.0,200.0,0.8188721246808827,348.0,805.0,Move large,[151.0],1060
149.0,400.0,2.316120129145952,354.0,449.0,Move,,1060
150.0,1000.0,9.155268678330678,362.0,979.0,Move,,1060
146.0,200.0,0.8188721246808827,355.0,628.0,Move,,1060
137.0,800.0,6.550976997447061,367.0,893.0,Move,,1060
171.0,400.0,2.316120129145952,379.0,1247.0,Move,,1060
163.0,200.0,0.8188721246808827,381.0,1279.0,Move,,1060
161.0,600.0,4.254984374547495,387.0,105.0,Move,,1060
157.0,200.0,0.8188721246808827,383.0,841.0,Move,,1060
174.0,600.0,4.254984374547495,389.0,1172.0,Move,,1060
152.0,800.0,6.550976997447061,405.0,300.0,Move,,1060
182.0,200.0,0.8188721246808827,401.0,639.0,Move,,1060
172.0,200.0,0.8188721246808827,405.0,1065.0,Move large,[172.0],1060
165.0,200.0,0.8188721246808827,406.0,551.0,Move,,1060
175.0,200.0,0.8188721246808827,415.0,68.0,Move,,1060
